Query,Answer,Label
Is there an entrance exam?,"Yes, there are part-time job opportunities available.",0
Is there an entrance exam?,The course duration is 4 years.,0
What courses are offered in BSCS?,The average fee is $5000 per year.,0
Are admissions open?,The hostel has single and shared accommodations.,2
What are the hostel facilities like?,"12th grade mark sheet, ID proof, and photos are required.",1
What are the hostel facilities like?,The syllabus is available on the official website.,1
What is the duration of the course?,"Yes, scholarships and fee concessions are offered.",2
Are admissions open?,"Yes, there is an active student council.",5
How many classes are there each week?,"Yes, online classes are available.",4
What is the last date to apply?,"Yes, online classes are available.",2
Is there an entrance exam?,"No, course changes are not allowed after admission.",3
Are there any fee concessions available?,The syllabus is available on the official website.,0
Where can I find the syllabus?,"Yes, there is an active student council.",4
Is there an entrance exam?,The last date to apply is 15/05/2024.,5
What is the average fee for the course?,"Yes, there are part-time job opportunities available.",3
What is the last date to apply?,"Yes, scholarships and fee concessions are offered.",1
What are the class timings?,The syllabus is available on the official website.,4
Are online classes available?,"Courses include Data Structures, Algorithms, etc.",0
How can I contact the admissions office?,The course duration is 4 years.,6
What are the class timings?,You can contact the admissions office via email.,3
Are online classes available?,The course duration is 4 years.,4
Is there an entrance exam?,The last date to apply is 15/05/2024.,6
Can I change my course after admission?,"Yes, online classes are available.",0
Is there an entrance exam?,"Yes, there are part-time job opportunities available.",0
Are online classes available?,The average fee is $5000 per year.,1
Are online classes available?,"Yes, there is an entrance exam on 30/05/2024.",6
What courses are offered in BSCS?,Classes are held from 9 AM to 5 PM.,0
How many classes are there each week?,"Yes, there is an entrance exam on 30/05/2024.",2
What are the eligibility criteria?,"Yes, the institute provides transport facilities.",5
What are the eligibility criteria?,Classes are held from 9 AM to 5 PM.,5
What are the class timings?,You can contact the admissions office via email.,0
Where can I find the syllabus?,The average fee is $5000 per year.,6
When does the course start?,"Yes, scholarships and fee concessions are offered.",4
What are the class timings?,"Yes, there is an active student council.",3
What courses are offered in BSCS?,The course starts on 01/08/2024.,6
How many classes are there each week?,The average fee is $5000 per year.,1
Is there transport available for students?,"Yes, admissions are open from 01/01/2024.",1
What is the average fee for the course?,The syllabus is available on the official website.,6
Are online classes available?,"12th grade mark sheet, ID proof, and photos are required.",5
What is the last date to apply?,"Courses include Data Structures, Algorithms, etc.",5
Is there transport available for students?,The course starts on 01/08/2024.,1
Where can I find the syllabus?,The average fee is $5000 per year.,2
What are the eligibility criteria?,"12th grade mark sheet, ID proof, and photos are required.",2
What documents are required?,The syllabus is available on the official website.,2
Is there an entrance exam?,Candidates must have completed 12th grade.,1
What is the average fee for the course?,"Yes, there are part-time job opportunities available.",3
Are admissions open?,"Yes, online classes are available.",1
Are there any fee concessions available?,"Yes, admissions are open from 01/01/2024.",5
Is there transport available for students?,"Yes, there is an active student council.",3
Can I change my course after admission?,"Yes, online classes are available.",4
Is there a student council?,"No, course changes are not allowed after admission.",6
Is there transport available for students?,"Yes, admissions are open from 01/01/2024.",5
What is the average fee for the course?,"Yes, the institute provides transport facilities.",2
Can I change my course after admission?,The hostel has single and shared accommodations.,6
Where can I find the syllabus?,"12th grade mark sheet, ID proof, and photos are required.",6
Where can I find the syllabus?,Candidates must have completed 12th grade.,4
What courses are offered in BSCS?,The course duration is 4 years.,4
What is the average fee for the course?,The average fee is $5000 per year.,3
Can I change my course after admission?,"12th grade mark sheet, ID proof, and photos are required.",6
What are the hostel facilities like?,The last date to apply is 15/05/2024.,3
What courses are offered in BSCS?,The hostel has single and shared accommodations.,5
What are the class timings?,The course starts on 01/08/2024.,3
What is the last date to apply?,The course duration is 4 years.,5
When does the course start?,"Courses include Data Structures, Algorithms, etc.",1
What is the average fee for the course?,"Yes, online classes are available.",3
What documents are required?,"Yes, online classes are available.",0
